esper,siddhi
993541.9771,2298850.575
2053388.09,6472498.382
2103049.422,6410253.205
2107481.56,7042250
2089864.159,7117437.722
2081165.453,7092202.128
2089864.159,7142864.286
2066115.702,7117427.046
2083333.333,6920415.225
2006018.054,7067137.809
1978239.367,7067144.876
2063983.488,6993000
2018163.471,7042253.521
2049180.328,6920418.685
2083333.333,6920446.367
2068252.327,6968606.272
2076843.198,6688963.211
2085505.735,6993010.49
2051282.051,7092202.128
2042900.919,6968637.631
2055498.458,6756756.757
2081165.453,6825941.98
2085505.735,6896548.276
2094240.838,6688959.866
2085505.735,6802721.088
2081165.453,6756760.135
2076843.198,6557373.77
2083333.333,6849318.493
2068252.327,6993006.993
2087682.672,6872859.107
2081165.453,6644508.306
2076843.198,6849315.068
2079002.079,7067137.809
2083333.333,6872855.67
2079002.079,6993006.993
2085505.735,7067141.343
2096436.059,6968651.568
2087682.672,6920397.924
2083333.333,6896555.172
2089864.159,6993003.497
2070393.375,6779661.017
2085505.735,6779664.407
2074688.797,6872869.416
2076843.198,6920394.464
2085505.735,7017561.404
2076843.198,6825924.915
2092050.209,6920411.765
2076843.198,6896551.724
2085505.735,6944451.389
2087682.672,6920411.765
2083333.333,6849315.068
2085505.735,6920415.225
2083333.333,6849311.644
2092050.209,6600663.366
2081165.453,7042278.169
2079002.079,6849287.671
2094240.838,6968644.599
2092050.209,6944444.444
2087682.672,7067148.41
2076843.198,6896562.069
2083333.333,6666650
2072538.86,6872845.361
2081165.453,6514661.238
2085505.735,6756753.378
2089864.159,6944447.917
2083333.333,6944444.444
2098635.887,6872848.797
2096436.059,7017547.368
2085505.735,6734016.835
2085505.735,6872841.924
2092050.209,6802717.687
2092050.209,6920415.225
2098635.887,6944447.917
2074688.797,6802721.088
2042900.919,7042253.521
1988071.571,6756753.378
